ts_code,name,market,publisher,category,base_date,base_point,list_date
000017.SH,新综指,SSE,中证指数有限公司,规模指数,20051230,1000.0,20060104
000018.SH,180金融,SSE,中证指数有限公司,行业指数,20020628,1000.0,20071210
000019.SH,治理指数,SSE,中证指数有限公司,主题指数,20070629,1000.0,20080102
000020.SH,中型综指,SSE,中证指数有限公司,规模指数,20071228,1000.0,20080512
000021.SH,180治理,SSE,中证指数有限公司,主题指数,20070629,1000.0,20080910
000025.SH,180基建,SSE,中证指数有限公司,主题指数,20020628,1000.0,20081215
000026.SH,180资源,SSE,中证指数有限公司,主题指数,20020628,1000.0,20081215
000027.SH,180运输,SSE,中证指数有限公司,主题指数,20020628,1000.0,20081215
000028.SH,180成长,SSE,中证指数有限公司,风格指数,20020628,1000.0,20090109
000029.SH,180价值,SSE,中证指数有限公司,风格指数,20020628,1000.0,20090109
000030.SH,180R成长,SSE,中证指数有限公司,风格指数,20020628,1000.0,20090109
000031.SH,180R价值,SSE,中证指数有限公司,风格指数,20020628,1000.0,20090109
000032.SH,上证能源,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000033.SH,上证材料,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000034.SH,上证工业,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000035.SH,上证可选,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000036.SH,上证消费,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000037.SH,上证医药,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000038.SH,上证金融,SSE,中证指数有限公司,主题指数,20031231,1000.0,20090109
000039.SH,上证信息,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000040.SH,上证通信,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000041.SH,上证公用,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000042.SH,上证央企,SSE,中证指数有限公司,主题指数,20081231,1000.0,20090330
000043.SH,超大盘,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090423
000044.SH,上证中盘,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
000045.SH,上证小盘,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
000046.SH,上证中小,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
000047.SH,上证全指,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
000048.SH,责任指数,SSE,中证指数有限公司,主题指数,20090630,1000.0,20090805
000049.SH,上证民企,SSE,中证指数有限公司,主题指数,20090630,1000.0,20090825
000050.SH,50等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20110104
000051.SH,180等权,SSE,中证指数有限公司,策略指数,20020628,3299.06,20110524
000052.SH,50基本,SSE,中证指数有限公司,策略指数,20031231,1000.0,20120109
000053.SH,180基本,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120109
000054.SH,上证海外,SSE,中证指数有限公司,主题指数,20061229,1000.0,20100104
000055.SH,上证地企,SSE,中证指数有限公司,主题指数,20090630,1000.0,20100104
000056.SH,上证国企,SSE,中证指数有限公司,主题指数,20090630,1000.0,20100104
000057.SH,全指成长,SSE,中证指数有限公司,风格指数,20031231,1000.0,20100104
000058.SH,全指价值,SSE,中证指数有限公司,风格指数,20031231,1000.0,20100104
000059.SH,全R成长,SSE,中证指数有限公司,风格指数,20031231,1000.0,20100104
000060.SH,全R价值,SSE,中证指数有限公司,风格指数,20031231,1000.0,20100104
000062.SH,上证沪企,SSE,中证指数有限公司,主题指数,20051231,1000.0,20100104
000063.SH,上证周期,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100203
000064.SH,非周期,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100203
000065.SH,上证龙头,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100209
000066.SH,上证商品,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100430
000067.SH,上证新兴,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100430
000068.SH,上证资源,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100528
000069.SH,消费80,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100528
000070.SH,能源等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000071.SH,材料等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000072.SH,工业等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000073.SH,可选等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000074.SH,消费等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000075.SH,医药等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000076.SH,金融等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000077.SH,信息等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000078.SH,通信等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000079.SH,公用等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20100818
000090.SH,上证流通,SSE,中证指数有限公司,规模指数,20091231,1000.0,20101202
000091.SH,沪财中小,SSE,中证指数有限公司,策略指数,20041231,1000.0,20110406
000092.SH,资源50,SSE,中证指数有限公司,主题指数,20031231,1000.0,20110510
000093.SH,180分层,SSE,中证指数有限公司,策略指数,20020628,3299.06,20110524
000094.SH,上证上游,SSE,中证指数有限公司,主题指数,20031231,1000.0,20110510
000095.SH,上证中游,SSE,中证指数有限公司,主题指数,20031231,1000.0,20110510
000096.SH,上证下游,SSE,中证指数有限公司,主题指数,20031231,1000.0,20110510
000097.SH,高端装备,SSE,中证指数有限公司,主题指数,20041231,1000.0,20110524
000098.SH,上证F200,SSE,中证指数有限公司,策略指数,20041231,1000.0,20110701
000099.SH,上证F300,SSE,中证指数有限公司,策略指数,20041231,1000.0,20110701
000100.SH,上证F500,SSE,中证指数有限公司,策略指数,20041231,1000.0,20110701
000102.SH,沪投资品,SSE,中证指数有限公司,主题指数,20031231,1000.0,20110613
000103.SH,沪消费品,SSE,中证指数有限公司,主题指数,20031231,1000.0,20110613
000104.SH,380能源,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000105.SH,380材料,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000106.SH,380工业,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000107.SH,380可选,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000108.SH,380消费,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000109.SH,380医药,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000110.SH,380金融,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000111.SH,380信息,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000112.SH,380电信,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000113.SH,380公用,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20110613
000114.SH,持续产业,SSE,中证指数有限公司,主题指数,20110630,1000.0,20110822
000115.SH,380等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,20110812
000117.SH,380成长,SSE,中证指数有限公司,风格指数,20031231,1000.0,20111018
000118.SH,380价值,SSE,中证指数有限公司,风格指数,20031231,1000.0,20111018
000119.SH,380R成长,SSE,中证指数有限公司,风格指数,20031231,1000.0,20111018
000120.SH,380R价值,SSE,中证指数有限公司,风格指数,20031231,1000.0,20111018
000121.SH,医药主题,SSE,中证指数有限公司,主题指数,20031231,1000.0,20111018
000122.SH,上证农业,SSE,中证指数有限公司,主题指数,20110630,1000.0,20111018
000123.SH,上证180动态,SSE,中证指数有限公司,策略指数,20020628,3299.06,20130208
000124.SH,100等权,SSE,中证指数有限公司,策略指数,20031231,1000.0,
000125.SH,上证180稳定,SSE,中证指数有限公司,策略指数,20020628,3299.06,20130208
000126.SH,消费50,SSE,中证指数有限公司,主题指数,20041231,1000.0,20111209
000128.SH,380基本,SSE,中证指数有限公司,策略指数,20031231,1000.0,20120109
000129.SH,180波动,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120109
000130.SH,380波动,SSE,中证指数有限公司,策略指数,20031231,1000.0,20120109
000131.SH,上证高新,SSE,中证指数有限公司,主题指数,20110630,1000.0,20120210
000132.SH,上证100,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120420
000133.SH,上证150,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120420
000134.SH,上证银行,SSE,中证指数有限公司,主题指数,20071231,1000.0,20120529
000135.SH,上证180高贝塔,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120806
000136.SH,上证180低贝塔,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120806
000137.SH,上证380高贝塔,SSE,中证指数有限公司,策略指数,20031231,1000.0,20120806
000138.SH,上证380低贝塔,SSE,中证指数有限公司,策略指数,20031231,1000.0,20120806
000141.SH,上证380动态,SSE,中证指数有限公司,策略指数,20031231,1000.0,20130208
000142.SH,上证380稳定,SSE,中证指数有限公司,策略指数,20031231,1000.0,20130208
000145.SH,优势资源,SSE,中证指数有限公司,主题指数,20031231,1000.0,20120529
000146.SH,优势制造,SSE,中证指数有限公司,主题指数,20031231,1000.0,20120529
000147.SH,优势消费,SSE,中证指数有限公司,主题指数,20031231,1000.0,20120529
000148.SH,消费领先,SSE,中证指数有限公司,主题指数,20041231,1000.0,20120529
000149.SH,上证180红利,SSE,中证指数有限公司,策略指数,20041231,1000.0,20120720
000150.SH,上证380红利,SSE,中证指数有限公司,策略指数,20041231,1000.0,20120720
000151.SH,上证国企红利,SSE,中证指数有限公司,策略指数,20090630,1000.0,20120720
000152.SH,上证央企红利,SSE,中证指数有限公司,策略指数,20081231,1000.0,20120720
000153.SH,上证民企红利,SSE,中证指数有限公司,策略指数,20090630,1000.0,20120720
000155.SH,上证市值百强,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120720
000158.SH,上证环保,SSE,中证指数有限公司,主题指数,20111230,1000.0,20120925
000159.SH,沪股通,SSE,中证指数有限公司,主题指数,20031231,1000.0,20141117
000160.SH,沪新丝路,SSE,中证指数有限公司,主题指数,20121231,1000.0,20150624
000161.SH,沪中国造,SSE,中证指数有限公司,主题指数,20120629,1000.0,20151029
000162.SH,沪互联+,SSE,中证指数有限公司,主题指数,20120629,1000.0,20151029
000170.SH,50AH优选,SSE,中证指数有限公司,策略指数,20041231,1000.0,20151210
000171.CSI,新兴成指,CSI,中证指数有限公司,主题指数,20101231,1000.0,20170125
000188.CSI,中国波指(退市),CSI,中证指数有限公司,主题指数,,,20161128
000188.SH,中国波指(退市),SSE,中证指数有限公司,主题指数,,,20161128
000300.SH,沪深300,SSE,中证指数有限公司,规模指数,20041231,1000.0,20050408
000300HKD00.CSI,沪深300HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
000300HKD01.CSI,沪深300(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
000300HKD02.CSI,沪深300(净)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
000300HKD07.CSI,沪深300HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
000300HKD08.CSI,沪深300(全)HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
000500.CSI,内地企业,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500CNY01.CSI,内地企业(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500HKD00.CSI,内地企业HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500HKD01.CSI,内地企业(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500HKD07.CSI,内地企业HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500HKD08.CSI,内地企业(全)HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500USD00.CSI,内地企业(USD),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500USD01.CSI,内地企业(全)USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500USD07.CSI,内地企业USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000500USD08.CSI,内地企业(全)USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
000501.CSI,中国1000(CNY),CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501CNY01.CSI,中国1000(全)CNY,CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501HKD00.CSI,中国1000HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501HKD01.CSI,中国1000(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501HKD07.CSI,中国1000HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501HKD08.CSI,中国1000(全)HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501USD00.CSI,中国1000(USD),CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501USD01.CSI,中国1000(全)USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501USD07.CSI,中国1000USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000501USD08.CSI,中国1000(全)USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20160510
000510.CSI,中证A500,CSI,中证指数有限公司,规模指数,20041231,1000.0,20240923
000510.SH,中证A500,SSE,中证指数有限公司,规模指数,20041231,1000.0,20240923
000510CNY010.CSI,中证A500全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20240923
000510CNY020.CSI,中证A500净收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20240923
000682.SH,科创信息,SSE,中证指数有限公司,主题指数,20191231,1000.0,20210816
000683.SH,科创生物,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220509
000683CNY01.SH,科创生物全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220509
000683CNY02.SH,科创生物净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220509
000685.SH,科创芯片,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220613
000685CNY01.SH,科创芯片全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220613
000685CNY02.SH,科创芯片净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220613
000687.SH,科创高装,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220815
000687CNY01.SH,科创高装全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220815
000687CNY02.SH,科创高装净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220815
000688.SH,科创50,SSE,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688CNY01.SH,科创50(全),SSE,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688EUR00.CSI,科创50EUR,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688EUR01.CSI,科创50(全)EUR,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688EUR02.CSI,科创50(净)EUR,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688GBP00.CSI,科创50GBP,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688GBP01.CSI,科创50(全)GBP,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688GBP02.CSI,科创50(净)GBP,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688HKD00.CSI,科创50HKD,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688HKD01.CSI,科创50(全)HKD,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688USD00.CSI,科创50USD,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688USD01.CSI,科创50(全)USD,CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688USD07.CSI,科创50USD(CNH),CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000688USD08.CSI,科创50(全)USD(CNH),CSI,中证指数有限公司,规模指数,20191231,1000.0,20200723
000689.SH,科创材料,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220815
000689CNY01.SH,科创材料全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220815
000689CNY02.SH,科创材料净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220815
000690.SH,科创成长,SSE,中证指数有限公司,策略指数,20191231,1000.0,20221104
000690CNY01.SH,科创成长全收益,SSE,中证指数有限公司,策略指数,20191231,1000.0,20221104
000690CNY02.SH,科创成长净收益,SSE,中证指数有限公司,策略指数,20191231,1000.0,20221104
000691.SH,科创ESG,SSE,中证指数有限公司,主题指数,20191231,1000.0,20240321
000691CNY010.SH,科创ESG全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20240321
000692.SH,科创新能,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000692CNY01.SH,科创新能全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000692CNY02.SH,科创新能净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000693.SH,科创机械,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000693CNY01.SH,科创机械全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000693CNY02.SH,科创机械净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000695.SH,科长三角,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000695CNY01.SH,科长三角全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000695CNY02.SH,科长三角净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000697.SH,科大湾区,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000697CNY01.SH,科大湾区全收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000697CNY02.SH,科大湾区净收益,SSE,中证指数有限公司,主题指数,20191231,1000.0,20230403
000698.SH,科创100,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698CNY010.SH,科创100(全),SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698CNY020.SH,科创100(净),SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698EUR200.SH,科创100EUR,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698EUR210.SH,科创100(全)EUR,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698GBP200.SH,科创100GBP,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698GBP210.SH,科创100(全)GBP,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698HKD200.SH,科创100HKD,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698HKD210.SH,科创100(全)HKD,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698USD200.SH,科创100USD,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698USD210.SH,科创100(全)USD,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698USD300.SH,科创100USD(CNH),SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000698USD310.SH,科创100(全)USD(CNH),SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000699.SH,科创200,SSE,中证指数有限公司,规模指数,20221230,1000.0,20240820
000699CNY010.SH,科创200(全),SSE,中证指数有限公司,规模指数,20221230,1000.0,20240820
000699CNY020.SH,科创200(净),SSE,中证指数有限公司,规模指数,20221230,1000.0,20240820
000801.CSI,资源80,CSI,中证指数有限公司,主题指数,20041231,1000.0,20111108
000801.SH,资源80(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20111108
000802.SH,500沪市,SSE,中证指数有限公司,主题指数,20041231,1000.0,20111108
000803.CSI,300波动,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120109
000803.SH,300波动(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20120109
000804.CSI,500波动,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120109
000804.SH,500波动(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20120109
000805.CSI,A股资源,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120106
000806.CSI,消费服务,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120210
000807.CSI,食品饮料,CSI,中证指数有限公司,行业指数,20041231,1000.0,20120217
000808.CSI,医药生物,CSI,中证指数有限公司,行业指数,20041231,1000.0,20120217
000811.CSI,细分有色,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120411
000811.SH,细分有色(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000812.CSI,细分机械,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120411
000812.SH,细分机械(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000813.CSI,细分化工,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120411
000813.SH,细分化工(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000814.SH,细分医药,SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000815.CSI,细分食品,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120411
000815.SH,细分食品(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000816.CSI,细分地产,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120411
000817.SH,兴证海西(退市),SSE,中证指数有限公司,主题指数,20110817,1000.0,20110927
000818.CSI,细分金融,CSI,中证指数有限公司,主题指数,20041231,1000.0,20120411
000818.SH,细分金融(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000819.SH,有色金属,SSE,中证指数有限公司,行业指数,20041231,1000.0,20120509
000820.CSI,煤炭指数,CSI,中证指数有限公司,行业指数,20041231,1000.0,20120509
000820.SH,煤炭指数(SH),SSE,中证指数有限公司,行业指数,20041231,1000.0,20120509
000821.CSI,沪深300红利,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120720
000822.CSI,中证500红利,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120720
000822.SH,中证500红利(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20120720
000823.SH,800有色,SSE,中证指数有限公司,二级行业指数,20041231,1000.0,20121221
000824.CSI,中证国企红利,CSI,中证指数有限公司,策略指数,20090630,1000.0,20120720
000824.SH,中证国企红利(SH),SSE,中证指数有限公司,策略指数,20090630,1000.0,20120720
000825.CSI,中证央企红利,CSI,中证指数有限公司,策略指数,20081231,1000.0,20120720
000825.SH,中证央企红利(SH),SSE,中证指数有限公司,策略指数,20081231,1000.0,20120720
000826.CSI,中证民企红利,CSI,中证指数有限公司,策略指数,20090630,1000.0,20120720
000826.SH,中证民企红利(SH),SSE,中证指数有限公司,策略指数,20090630,1000.0,20120720
000827.SH,中证环保,SSE,中证指数有限公司,主题指数,20111230,1000.0,20120925
000828.CSI,沪深300高贝塔,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120806
000829.CSI,沪深300低贝塔,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120806
000829.SH,沪深300低贝塔(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20120806
000830.CSI,中证500高贝塔,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120806
000830.SH,中证500高贝塔(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20120806
000831.CSI,中证500低贝塔,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120806
000831.SH,中证500低贝塔(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20120806
000834.CSI,价值7030,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120830
000835.CSI,价值3070,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120830
000836.CSI,成长7030,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120830
000837.CSI,成长3070,CSI,中证指数有限公司,策略指数,20041231,1000.0,20120830
000838.CSI,中证创业价值,CSI,中证指数有限公司,主题指数,20091231,1000.0,20120926
000838.SH,中证创业价值(SH),SSE,中证指数有限公司,主题指数,20091231,1000.0,20120926
000839.CSI,中证浙企综指,CSI,中证指数有限公司,主题指数,20041231,1000.0,20121109
000839.SH,中证浙企综指(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20121109
000840.CSI,中证浙江民企,CSI,中证指数有限公司,主题指数,20041231,1000.0,20121109
000840.SH,中证浙江民企(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20121109
000841.CSI,800医药(二级),CSI,中证指数有限公司,二级行业指数,20041231,1000.0,20121221
000842.CSI,中证800等权,CSI,中证指数有限公司,策略指数,20041231,1000.0,20121221
000843.CSI,沪深300动态,CSI,中证指数有限公司,策略指数,20041231,1000.0,20130107
000843.SH,沪深300动态(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20130107
000844.CSI,沪深300稳定,CSI,中证指数有限公司,策略指数,20041231,1000.0,20130107
000844.SH,沪深300稳定(SH),SSE,中证指数有限公司,策略指数,20041231,1000.0,20130107
000846.CSI,中证ESG100,CSI,中证指数有限公司,主题指数,20110630,1000.0,20121016
000847.SH,腾讯济安,SSE,中证指数有限公司,价值指数,20130518,1000.0,20131118
000849.SH,300非银,SSE,中证指数有限公司,主题指数,20041231,1000.0,20121221
000850.CSI,300有色(退市),CSI,中证指数有限公司,二级行业指数,20041231,1000.0,20121221
000851.SH,百发100,SSE,中证指数有限公司,策略指数,20081231,1000.0,20140730
000852.SH,中证1000,SSE,中证指数有限公司,规模指数,20041231,1000.0,20141017
000853.SH,CSSW丝路,SSE,中证指数有限公司,主题指数,20081231,1000.0,20150423
000854.SH,中证500原料,SSE,中证指数有限公司,一级行业指数,20041231,1000.0,20131106
000855.SH,央视500,SSE,中证指数有限公司,主题指数,20091231,1000.0,20141103
000856.SH,中证500工业,SSE,中证指数有限公司,一级行业指数,20041231,1000.0,20131106
